# Variance report for acetime.acetz.acetz compared to Python 3.9
# zoneinfo.ZoneInfo.
#
# Context
# -------
# AceTimePython Version: 0.5.6
# AceTimePython ZoneDB Version: 2022g
# AceTimePython ZoneDB Start Year: 1900
# AceTimePython ZoneDB Until Year: 10000
# ZoneInfo Version: Python 3.9 2021e
# Report Start Year: 1950
# Report Until Year: 2100
#
# Report Format
# -------------
# Zone {zone_name}
# {seconds}: {date}: {label}: acetz {value}; zoneinfo {value}
# [...]

Zone Africa/Casablanca
1557021540: 2019-05-05 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
1557021600: 2019-05-05 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
1560045540: 2019-06-09 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
1560045600: 2019-06-09 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
1587261540: 2020-04-19 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
1587261600: 2020-04-19 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
1590890340: 2020-05-31 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
1590890400: 2020-05-31 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
1618106340: 2021-04-11 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
1618106400: 2021-04-11 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
1621130340: 2021-05-16 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
1621130400: 2021-05-16 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
1648346340: 2022-03-27 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
1648346400: 2022-03-27 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
1651975140: 2022-05-08 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
1651975200: 2022-05-08 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
1679191140: 2023-03-19 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
1679191200: 2023-03-19 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
1682819940: 2023-04-30 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
1682820000: 2023-04-30 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
1710035940: 2024-03-10 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
1710036000: 2024-03-10 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
1713059940: 2024-04-14 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
1713060000: 2024-04-14 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
1740275940: 2025-02-23 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
1740276000: 2025-02-23 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
1743904740: 2025-04-06 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
1743904800: 2025-04-06 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
1771120740: 2026-02-15 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
1771120800: 2026-02-15 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
1774144740: 2026-03-22 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
1774144800: 2026-03-22 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
1801965540: 2027-02-07 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
1801965600: 2027-02-07 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
1804989540: 2027-03-14 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
1804989600: 2027-03-14 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
1832205540: 2028-01-23 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
1832205600: 2028-01-23 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
1835834340: 2028-03-05 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
1835834400: 2028-03-05 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
1863050340: 2029-01-14 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
1863050400: 2029-01-14 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
1866074340: 2029-02-18 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
1866074400: 2029-02-18 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
1893290340: 2029-12-30 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
1893290400: 2029-12-30 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
1896919140: 2030-02-10 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
1896919200: 2030-02-10 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
1924135140: 2030-12-22 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
1924135200: 2030-12-22 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
1927763940: 2031-02-02 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
1927764000: 2031-02-02 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
1954979940: 2031-12-14 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
1954980000: 2031-12-14 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
1958003940: 2032-01-18 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
1958004000: 2032-01-18 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
1985219940: 2032-11-28 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
1985220000: 2032-11-28 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
1988848740: 2033-01-09 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
1988848800: 2033-01-09 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2016064740: 2033-11-20 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2016064800: 2033-11-20 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2019088740: 2033-12-25 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2019088800: 2033-12-25 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2046304740: 2034-11-05 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2046304800: 2034-11-05 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2049933540: 2034-12-17 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2049933600: 2034-12-17 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2077149540: 2035-10-28 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2077149600: 2035-10-28 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2080778340: 2035-12-09 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2080778400: 2035-12-09 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2107994340: 2036-10-19 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2107994400: 2036-10-19 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2111018340: 2036-11-23 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2111018400: 2036-11-23 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2138234340: 2037-10-04 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2138234400: 2037-10-04 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2141863140: 2037-11-15 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2141863200: 2037-11-15 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2169079140: 2038-09-26 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2169079200: 2038-09-26 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
