# Variance report for acetime.timezone.acetz compared to Python 3.10
# zoneinfo.ZoneInfo.
#
# Context
# -------
# Acetimepy Version: 0.7.0
# Acetimepy ZoneDB Version: 2023c
# Acetimepy ZoneDB Start Year: 1800
# Acetimepy ZoneDB Until Year: 10000
# Python Version: 3.10.6 (main, Mar 10 2023, 10:55:28) [GCC 11.3.0]
# ZoneInfo Version: 2022c
# Report Start Year: 1840
# Report Until Year: 2100
#
# Report Format
# -------------
# Zone {zone_name}
# {seconds}: {date}: {label}: exp {value}, obs {value}
# [...]

Zone America/Bahia_Banderas
1270371600: 2010-04-04 04:00:00-05:00: dst_offset: acetz 3600; zoneinfo 7200
1288508340: 2010-10-31 01:59:00-05:00: dst_offset: acetz 3600; zoneinfo 7200
1301817600: 2011-04-03 03:00:00-05:00: dst_offset: acetz 3600; zoneinfo 7200
1319957940: 2011-10-30 01:59:00-05:00: dst_offset: acetz 3600; zoneinfo 7200
1333267200: 2012-04-01 03:00:00-05:00: dst_offset: acetz 3600; zoneinfo 7200
1351407540: 2012-10-28 01:59:00-05:00: dst_offset: acetz 3600; zoneinfo 7200
1365321600: 2013-04-07 03:00:00-05:00: dst_offset: acetz 3600; zoneinfo 7200
1382857140: 2013-10-27 01:59:00-05:00: dst_offset: acetz 3600; zoneinfo 7200
1396771200: 2014-04-06 03:00:00-05:00: dst_offset: acetz 3600; zoneinfo 7200
1414306740: 2014-10-26 01:59:00-05:00: dst_offset: acetz 3600; zoneinfo 7200
1428220800: 2015-04-05 03:00:00-05:00: dst_offset: acetz 3600; zoneinfo 7200
1445756340: 2015-10-25 01:59:00-05:00: dst_offset: acetz 3600; zoneinfo 7200
1459670400: 2016-04-03 03:00:00-05:00: dst_offset: acetz 3600; zoneinfo 7200
1477810740: 2016-10-30 01:59:00-05:00: dst_offset: acetz 3600; zoneinfo 7200
1491120000: 2017-04-02 03:00:00-05:00: dst_offset: acetz 3600; zoneinfo 7200
1509260340: 2017-10-29 01:59:00-05:00: dst_offset: acetz 3600; zoneinfo 7200
1522569600: 2018-04-01 03:00:00-05:00: dst_offset: acetz 3600; zoneinfo 7200
